,o3_pro,o3_high,o3_images_high,o3_med,o3_images_med,o3_low,gpt5_high,gpt5_med,gpt5_low,gpt5_minimal,o4mini_high,o4mini_med
0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.625,5.0,5.0
1,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,1.2,4.75,4.75
2,3.642857142857143,1.0,3.5,1.0833333333333337,3.5,3.5,3.916666666666667,1.85,1.3333333333333337,1.25,3.916666666666667,1.0833333333333337
3,3.25,1.6666666666666663,3.1666666666666665,3.0,3.1666666666666665,1.1,3.2,3.1666666666666665,1.0,1.45,1.0,3.1666666666666665
4,3.6,1.75,3.416666666666667,3.6,3.6,3.6,3.4,3.6,3.6,1.0,1.6666666666666663,1.0833333333333337
5,3.0,2.25,1.0,1.0,2.25,1.6666666666666663,3.916666666666667,4.083333333333333,2.5,2.875,2.0,4.166666666666667
6,3.75,3.125,3.75,3.125,3.75,3.125,3.125,3.125,3.125,4.375,4.416666666666666,4.416666666666666
7,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,1.5,1.35
8,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,2.75,1.0,4.1
9,4.666666666666666,4.666666666666666,1.0,2.1,2.4,4.0,2.1,1.3,4.25,3.5,2.1,4.833333333333334
10,4.75,4.75,4.75,1.8,4.75,3.35,4.035714285714286,4.035714285714286,4.75,1.2,4.75,1.6428571428571428
11,4.916666666666666,4.916666666666666,4.916666666666666,4.916666666666666,4.916666666666666,1.6666666666666663,4.916666666666666,3.5,1.0,1.625,4.916666666666666,1.25
12,4.833333333333334,4.833333333333334,1.0,1.2,1.0,1.5714285714285714,5.0,1.5714285714285714,1.5714285714285714,1.5,5.0,1.75
13,4.833333333333334,4.833333333333334,4.833333333333334,4.833333333333334,1.9166666666666663,2.5,4.833333333333334,4.833333333333334,4.833333333333334,4.833333333333334,4.833333333333334,4.833333333333334
14,2.2,4.083333333333333,4.083333333333333,1.5,4.083333333333333,1.5,4.083333333333333,4.083333333333333,4.083333333333333,4.083333333333333,4.083333333333333,1.25
15,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
16,1.7,4.916666666666666,1.6666666666666663,1.1,4.9,1.625,1.6666666666666663,3.0,1.625,1.8333333333333333,2.4,1.0
